Model Name,Stage,Number of Participants,Category,Authority,Description,Number of Beneficiaries Impacted,Number of Physicians Impacted,Date Began,Date Ended,States,Keywords,URL,Display Model Summary,Unique ID
Accountable Health Communities Model,Not Active,28,State & Community-Based Models,Section 1115A of the Social Security Act,The Accountable Health Communities Model tested whether addressing unmet health-related social needs could reduce health care costs and utilization among community Medicare and Medicaid beneficiaries.,,,,,"AZ,CO,CT,GA,IL,IN,KY,MD,MI,MN,NJ,NM,NY,OH,OK,OR,PA,TN,TX,VA,WV","State & Community-Based Models, Accountable Health Communities Model, AHC Model, Medicare, Medicaid, community services, social needs, health related social needs, bridge organizations, clinical-community collaboration, community services",/initiatives/ahcm/,TRUE,1
ACO Investment Model,Not Active,45,Accountable Care Models,Section 1115A of the Social Security Act,The ACO Investment Model tested new pre-payment approaches meant to support Medicare Shared Savings Program ACOs.,,,,,"CA,OK,MN,KS,MS,WV,TX,KY,ME,NC,FL,IA,WI,IL,MO,MI,NH,VT,OH,PA,WA,AL,SC,GA,SD,OR,MT,ID,WY,TN,SD,NE,NM,CO","Accountable Care Models, ACO Investment Model, Accountable Care Organization, Medicare Shared Savings Program, Advance Payment ACO Model, Pioneer ACO Model, rural areas",/initiatives/ACO-Investment-Model/,TRUE,2
ACO REACH,Active,122,Accountable Care Models,Section 1115A of the Social Security Act,"The redesigned Model reflects the Biden-Harris Administration priorities and responds to stakeholder and participant feedback.  With ACO REACH, CMS will test a model that can inform the Medicare Shared Savings Program and future models by making important changes to the GPDC Model.",,,,,,"Accountable Care Models, ACO Investment Model, Accountable Care Organization, Medicare Shared Savings Program, Advance Payment ACO Model, Pioneer ACO Model, rural areas, ACO Reach Model, primary care",/innovation-models/aco-reach,TRUE,3
Advance Payment ACO Model,Not Active,35,Accountable Care Models,Section 1115A of the Social Security Act,The Advance Payment ACO Model provided upfront and monthly payments to 35 ACOs participating in the Medicare Shared Savings Program.,,,,,"NC,KY,NH,FL,TX,RI,TN,CA,MA,MD,MS,CT,IN,AR,MO,OH,NE","Accountable Care Models, Accountable Care, ACOs, Advance Payment ACO Model, Accountable Care Organizations (ACOs), rural, Medicare, Shared Savings Program, prospective payment",/initiatives/Advance-Payment-ACO-Model/,TRUE,4
Artificial Intelligence (AI) Health Outcomes Challenge,Not Active,7,Statutory Demonstrations and Other Projects,America COMPETES Reauthorization Act,Competition to innovate how artificial intelligence (AI) can be implemented in current and new health care payment and service delivery models.,,,,,,"Artificial Intelligence (AI) Health Outcomes Challenge, Statutory Models, technology, competition, Medicare, Medicaid, big data",/initiatives/artificial-intelligence-health-outcomes-challenge/,TRUE,5
BPCI Advanced,Active,"207 Participants, 247 Episode Initiators",Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,BPCI Advanced is a voluntary episode payment model that will qualify as an Advanced Alternative Payment Model (APM) under the Quality Payment Program to test a new iteration of bundled payments.,,,,,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,IL,KS,KY,LA,ME,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OK,OR,PA,PR,SC,SD,TN,TX,UT,VA,WA,WI,WV","Disease-Specific & Episode-Based Models, BPCI Advanced, Bundled Payments for Care Improvement Advanced, Advanced Alternative Payment Model (APM), episode of care, Medicare",/initiatives/bpci-advanced/,TRUE,6
Bundled Payments for Care Improvement (BPCI) Initiative: General Information,Not Active,,Disease-Specific & Episode-Based Models,,The Bundled Payments for Care Improvement intitiative evaluated 4 different models of bundled payments for a defined episode of care to incentivize care redesign.,,,,,,"Disease-Specific & Episode-Based Models, Bundled Payments for Care Improvement (BPCI) Initiative: General Information, BPCI, Medicare, prospective payment, BPCI Model 1: Retrospective Acute Care Hospital Stay Only, BPCI Model 2: Retrospective Acute & Post Acute Care Episode, BPCI Model 3: Retrospective Post Acute Care, BPCI Model 4: Prospective Acute Care Hospital Stay Only",/initiatives/Bundled-Payments/,TRUE,7
CHART Model,Withdrawn,4,State & Community-Based Models,Section 1115A of the Social Security Act,"This model aims to empower rural communities to develop a high quality care delivery system through new seed funding, payment structures, operational and regulatory flexibilities and technical and learning support.",,,,,,"Community Health Access and Rural Transformation (CHART) Model, rural health, Disease-Specific & Episode-Based Models, Medicare, hospitals, Critical Access Hospitals (CAHs), CHART Model",/initiatives/chart-model,TRUE,8
Community-based Care Transitions Program,Not Active,18,"Statutory Demonstrations and Other Projects, State & Community-Based Models",Section 3026 of the Affordable Care Act,The Community-Based Care Transition Program supported community-based organizations to reduce readmissions by improving transitions of high-risk Medicare beneficiaries from the inpatient hospital setting to home or other care settings.,,,,,"CA,IL,NY,AZ,PA,MA,MI,OH,NC,AL,IN,KY","Statutory Models, Partnership for Patients, Nationwide, Hospital-Acquired Conditions, Readmissions, CCTP, Community-Based Care Transitions Program, Medicare, Hospital Engagement Networks",/initiatives/CCTP/,TRUE,9
Comprehensive Care for Joint Replacement Model,Active,Approximately 324 hospitals in 34 MSAs,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,This model aims to improve care and reduce costs for hip and knee replacements through episode-based payments.,,,,,"AL,AR CA,CT,FL,IN,KY,MS,NC,NY,NJ,OH,PA,TX,UT","Comprehensive Care for Joint Replacement Model, Disease-Specific & Episode-Based Models, lower extremity joint replacement, hip replacement, knee replacement, surgeries, CJR Model",/initiatives/cjr/,TRUE,10
Comprehensive ESRD Care Model,Not Active,33,"Accountable Care Models, Disease-Specific & Episode-Based Models",Section 1115A of the Social Security Act,The Comprehensive ESRD Care Model was designed to improve care for beneficiaries with ESRD while lowering Medicare costs.,,,,,"AL,AZ,CA,DE,FL,GA,IL,IN,LA,MA,MD,MI,MN,MO,NC,NJ,NY,NV,OH,OR,PA,SC,TN,TX,WA","Disease-Specific & Episode-Based Models, comprehensive esrd care model, esrd, end-stage renal disease, dialysis, Medicare, CEC Model",/initiatives/comprehensive-ESRD-care/,TRUE,11
Comprehensive Primary Care Initiative,Not Active,442,Accountable Care Models,Section 1115A of the Social Security Act,The CPC Initiative was a multi-payer initiative that provided financial support to primary care practices in 7 markets.,,,,,"NY,NJ,CO,OK,AR,OH,OR,KY","Accountable Care Models, Comprehensive Primary Care Initiative, Medicare, managed care, multi-payer, CPCI",/initiatives/Comprehensive-Primary-Care-Initiative/,TRUE,12
Comprehensive Primary Care Plus,Not Active,2610,Accountable Care Models,Section 1115A of the Social Security Act,A national advanced primary care medical home model that aimed to strengthen primary care through regionally-based multi-payer payment reform and care delivery transformation.,,,,,"AR,CO,HI,KS,KY,MO,MI,MT,NJ,NY,OH,OK,OR,PA,RI,TN","Accountable Care Models, Comprehensive Primary Care Plus, CPC+, CPC+ Model, primary care, medical home",/initiatives/comprehensive-primary-care-plus/,TRUE,13
"Emergency Triage, Treat, and Transport (ET3) Model",Not Active,152,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,Voluntary payment model that provided greater ambulance care team flexibility to address Medicare beneficiary emergency care needs following a 911 call.,,,,,"AL,AZ,CA,CO,CT,FL,GA,HI,IL,KS,KY,LA,MA,MD,ME,MI,MO,MO,NC,NH,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WV,WI","Disease-Specific & Episode-Based Models, Emergency Triage, Treat, and Transport (ET3) Model, ET3, ambulance, 911, Medicare, emergency, triage, care in place, ET3 Model",/initiatives/et3/,TRUE,14
Enhancing Oncology Model,Active,"41 practices, 2 payers","Disease-Specific & Episode-Based Models, Accountable Care Models",Section 1115A of the Social Security Act,This model aims to drive transformation and improve oncology care coordination by preserving and enhancing the quality of care furnished to beneficiaries undergoing treatment for cancer while reducing program spending under Medicare fee-for-service.,,,,,"AL,AR,AZ,CA,CO,CT,DC,FL,GA,ID,IL,IN,KY,LA,MD,MI,MN,MO,MS,MT,NC,NJ,NM,NV,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV ","Enhancing Oncology Model (EOM), Disease-Specific & Episode-Based Models, oncology, cancer",https://innovation.cms.gov/innovation-models/enhancing-oncology-model,TRUE,15
ESRD Treatment Choices (ETC) Model,Active,,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,"Encourages greater use of home dialysis and kidney transplants for Medicare beneficiaries with ESRD, while reducing Medicare expenditures and preserving or enhancing the quality of care furnished to beneficiaries with ESRD.",,,,,,"Disease-Specific & Episode-Based Models, ESRD Treatment Choices (ETC) Model, end-stage renal disease, kidney, Advancing American Kidney Health Executive Order, ETC Model, dialysis, kidney transplants",/initiatives/esrd-treatment-choices-model/,TRUE,16
Expanded Home Health Value-Based Purchasing Model,Active,,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,"Building upon experience from the original Home Health Value-Based Purchasing Model (HHVBP Model), this model expands presence to all fifty states, District of Columbia, and the U.S. territories.",,,,,,"Expanded Home Health Value-Based Purchasing Model, Expanded HHVBP Model, HHVBP, Disease-Specific & Episode-Based Models, Medicare, home health",/innovation-models/expanded-home-health-value-based-purchasing-model,TRUE,17
Financial Alignment Initiative for Medicare-Medicaid Enrollees,Active,13,"State & Community-Based Models, Health Plan Models",Section 1115A of the Social Security Act,Enables states to integrate care and payment systems for Medicare-Medicaid enrollees and better coordinate their care.,,,,,"MA,WA,OH,IL,CA,VA,NY,SC,RI,MN,CO,MI,TX","State & Community-Based Models, Financial Alignment Initiative, dual eligibles, Medicare, Medicaid, Medicare-Medicaid enrollees, Financial Alignment Initiative for Medicare-Medicaid Enrollees, FAI",/initiatives/Financial-Alignment/,TRUE,18
FQHC Advanced Primary Care Practice Demonstration,Not Active,434,"Statutory Demonstrations and Other Projects, Accountable Care Models",Section 1115A of the Social Security Act,The Federally Qualified Health Center (FQHC) Advanced Primary Care Practice Demonstration tested the efficiency of patient-centered medical homes among FQHCs.,,,,,"WA,WI,CA,GA,LA,IL,WV,KY,ID,NH,AK,NC,AR,MI,HI,MD,TX,SC,IA,MI,NM,MO,PA,MS,OH,NJ,NY,IN,MS,TN,SD,OR,VA,CO,NE,MT,FL,MA,CT,WY,MN,KY,RI,ND,ID,ME,AL,KS,OK,AL,OR","Statutory Models, Federally Qualified Health Center (FQHC), medical home, Medicare, managed care, Medicaid, dual eligibles, Medicare, FQHC Advanced Primary Care Practice Demonstration",/initiatives/FQHCs/,TRUE,19
Frontier Community Health Integration Project Demonstration,Active,10,Statutory Demonstrations and Other Projects,Section 3126 of the Affordable Care Act,"This demonstration aimed to develop and test new models of integrated, coordinated health care in the most sparsely populated rural counties.",,,,,"MT,NV,ND","Statutory Models, Frontier Community Health Integration Project Demonstration, Medicare, critical access hospitals (CAHs), rural, telemedicine, home health, home-based care, ambulance, remote geographic areas",/initiatives/Frontier-Community-Health-Integration-Project-Demonstration/,TRUE,20
Frontier Extended Stay Clinic Demonstration,Not Active,5,Statutory Demonstrations and Other Projects,"Section 434 of the Medicare Prescription Drug, Improvement, and Modernization Act of 2003","The Frontier Extended Stay Clinic Demonstration allowed remote clinics to treat patients for more extended periods, including overnight stays, that are entailed in routine physician visits.",,,,,"AK,WA","Statutory Models, Frontier Extended Stay Clinic Demonstration, acute care, remote geographic areas",/initiatives/Frontier-Extended-Stay-Clinic/,TRUE,21
Geographic Direct Contracting Model,Not Active,,Accountable Care Models,Section 1115A of the Social Security Act,A payment and care delivery model that proposed testing whether a geographic-based approach to care delivery and value-based care could improve health and reduce costs for Medicare beneficiaries across an entire geographic region.,,,,,,"Accountable Care Models, Geographic Direct Contracting Model, Direct Contracting Model Options, DC, primary care, voluntary, value, quality, flexibility",/innovation-models/geographic-direct-contracting-model,TRUE,22
Global and Professional Direct Contracting (GPDC) Model,Not Active,99,Accountable Care Models,Section 1115A of the Social Security Act,Voluntary payment model options that innovated Medicare fee-for-service approaches to produce value and high-quality care outcomes.,,,,,,"Accountable Care Models, Global and Professional Direct Contracting (GPDC) Model, GPDC Model, Direct Contracting Model Options, DC, primary care, voluntary, value, quality, flexibility",/innovation-models/gpdc-model,TRUE,23
Graduate Nurse Education Demonstration,Not Active,5,Statutory Demonstrations and Other Projects,Section 5509 of the Affordable Care Act,The Graduate Nurse Education Demonstration supported hospitals for the reasonable cost of providing clinical training to advanced practice registered nursing (APRN) training.,,,,,"PA,NC,AZ,IL,TX","Statutory Models, Graduate Nurse Education Demonstration, GNE, Advanced Practice Registered Nurses (APRNs), Medicare",/initiatives/GNE/,TRUE,24
Health Care Innovation Awards,Not Active,107,Statutory Demonstrations and Other Projects,Section 1115A of the Social Security Act,"The Health Care Innovation Awards funded competitive grants to compelling new ideas that deliver health care at lower costs to people enrolled in Medicare, Medicaid, and CHIP.",,,,,"MA,TX,NJ,MN,SD,NC,GA,PA,OR,MD,VA,DC,RI,CT,VT,NM,WA,CA,NH,NE,IL,NY,OH,CO,TN,MI,WI,DE,AR,MO,SC,FL,HI,MT,WY,UT,ID,ME,IA,OK,AZ,IN,ND,AK,NV,ND,AL,PR,OR,KS,KY,MS,WV,ID,LA","Health Care Innovation Awards, Statutory Models, Medicare, Medicaid, Children's Health Insurance Program (CHIP), CHIP, grants, HCIA, Challenge, managed care, community health, rural",/initiatives/Health-Care-Innovation-Awards/,TRUE,25
Health Care Innovation Awards Round Two,Not Active,39,Statutory Demonstrations and Other Projects,Section 1115A of the Social Security Act,"The Health Care Innovation Awards Round Two were funding competitive grants to compelling new ideas that delivered health care at lower costs to people enrolled in Medicare, Medicaid, and CHIP.",,,,,"AZ,CA,CO,CT,DC,FL,GA,IA,IL,KS,MA,MD,MI,MN,MO,NE,NC,NH,NM,NY,OH,PA,SD,TX,WA,WI,VA","Statutory Models, Health Care Innovation Awards Round Two, HCIA Round Two, grants",/initiatives/Health-Care-Innovation-Awards/Round-2.html,TRUE,26
Home Health Value-Based Purchasing Model,Authorized for Expansion,,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,This model was designed to support greater quality and efficiency among Medicare-certified home health agencies by shifting away from payments based on volume towards payments based on quality.,,,,,"AZ,FL,IA,MA,MD,NE,NC,TN,WA","Disease-Specific & Episode-Based Models, Home Health Value-Based Purchasing Model, Medicare, value based, HHVBP Model, HHVBP",/initiatives/home-health-value-based-purchasing-model,TRUE,27
Independence at Home Demonstration,Not Active,1 Participating Site,Statutory Demonstrations and Other Projects,Section 3024 of the Affordable Care Act as amended by the Bipartisan Budget Act of 2018,The Independence at Home Demonstration supported home-based primary care for Medicare beneficiaries with multiple chronic conditions.,,,,,"MA,DE,OH,NY,NC,OR,PA,TX,FL,MI,VA,WI","Statutory Models, Independence at Home Demonstration, Medicare, home-based care, chronic conditions",/initiatives/Independence-at-Home/,TRUE,28
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents,Not Active,7,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,Offered enhanced clinical services to beneficiaries in extended-care nursing facilities.,,,,,"AL,IN,MO,NE,NV,NY,PA","Disease-Specific & Episode-Based Models, Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents, Partnership for Patients, Medicare-Medicaid enrollees, dual eligibles, Medicaid, Medicare",/initiatives/rahnfr/,TRUE,29
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents: Phase Two,Not Active,247,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,Phase Two of the Initiative offering enhanced clinical services to beneficiaries in long-term care facilities.,,,,,"AL,CO,IN,MO,NV,NY,PA","Disease-Specific & Episode-Based Models, Initiative to Reduce Avoidable Hospitalizations among Nursing Facility Residents: Phase Two, Initiatives Focused on the Medicare-Medicaid Enrollees, dual eligible, Medicare, Medicaid, long-term care (LTC)",/initiatives/rahnfr-phase-two/,TRUE,30
Integrated Care for Kids (InCK) Model,Active,7,State & Community-Based Models,Section 1115A of the Social Security Act,"This model aims to reduce expenditures and improve the quality of care for children covered by Medicaid and the Children's Health Insurance Program (CHIP) through prevention, early identification, and treatment of behavioral and physical health needs, including substance use.",,,,,"CT,IL,NC,NJ,NY,OH","State & Community-Based Models, Integrated Care for Kids (InCK) Model, InCK Model, Medicaid, Childrens Health Insurance Program (CHIP), substance use, pediatrics",/initiatives/integrated-care-for-kids-model/,TRUE,31
International Pricing Index (IPI) Model,Withdrawn,,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,This proposed model would aim to preserve or enhance quality of care for beneficiaries while reducing Medicare Part B drug expenditures.,,,,,,"International Pricing Index (IPI) Model, IPI Model, Prescription Drug Models, Medicare, Part B, Competitive Acquisition Program (CAP)",/initiatives/ipi-model/,TRUE,32
Kidney Care Choices (KCC) Model,Active,"99: 80 CKCC Participants, 19 KCF Participants ","Accountable Care Models, Disease-Specific & Episode-Based Models",Section 1115A of the Social Security Act,"This model incentivizes kidney disease prevention, encourage kidney transplantation and offer distinct payment options to further these goals.",,,,,"AL,CA,GA,FL,IL,IN,KS,KY,MI,MN,MO,NC,NJ,NY,OH,OR,PA,SC,TN,TX,WA,WI,WV","Accountable Care Models, Kidney Care Choices (KCC) Model, Kidney Care First (KCF) Option, Comprehensive Kidney Care Contracting (CKCC) Option, Advancing American Kidney Health Executive Order, kidney, kidney transplants, dialysis, KCC Model",/initiatives/kidney-care-choices-kcc-model/,TRUE,33
Maryland All-Payer Model,Not Active,1,"State & Community-Based Models, Accountable Care Models",Section 1115A of the Social Security Act,This Model was a partnership between CMS and the state of Maryland to modernize Maryland's unique all-payer rate-setting system for hospital services.,,,,,MD,"State & Community-Based Models, Maryland All-Payer Model, Medicare, Medicaid, Children's Health Insurance Program (CHIP), states",/initiatives/Maryland-All-Payer-Model/,TRUE,34
Maryland Total Cost of Care Model,Active,550,"State & Community-Based Models, Accountable Care Models",Section 1115A of the Social Security Act,This model is the first CMS Innovation Center model to hold a state fully at risk for the total cost of care for Medicare beneficiaries.,,,,,MD,"State & Community-Based Models, Maryland Total Cost of Care Model, TCOC, Maryland, Medicare, Outcomes-Based Credits, Substance-Use Disorder (SUD), Diabetes, Hypertension, Obesity, Smoking, Asthma, MD TCOC Model",https://innovation.cms.gov/initiatives/md-tccm/,TRUE,35
Maternal Opioid Misuse (MOM) Model,Active,7,"State & Community-Based Models, Disease-Specific & Episode-Based Models",Section 1115A of the Social Security Act,This model addresses the need to better align and coordinate care of pregnant and postpartum Medicaid beneficiaries with opioid use disorder (OUD) through state-driven transformation of the delivery system.,,,,,"CO,IN,ME,NH,TN,TX,WV","Maternal Opioid Misuse (MOM) Model, State & Community-Based Models, opioid, opioid use disorder (oud), Medicaid, pregnant, prenatal, peripartum, postpartum, Childrens Health Insurance Program (CHIP), pediatrics, MOM Model",https://innovation.cms.gov/initiatives/maternal-opioid-misuse-model/,TRUE,36
Medicaid Emergency Psychiatric Demonstration,Not Active,12,"Statutory Demonstrations and Other Projects, Health Plan Models",Section 2707 of the Affordable Care Act,The Medicaid Emergency Psychiatric Demonstration supported treatment for psychiatric emergencies at private psychiatric hospitals in 11 states and the District of Columbia.,,,,,"AL,CA,CT,DC,IL,ME,MD,MO,NC,RI,WA,WV","Statutory Models, Medicaid Emergency Psychiatric Demonstration, Medicaid, Children's Health Insurance Program (CHIP)",/initiatives/Medicaid-Emergency-Psychiatric-Demo/,TRUE,37
Medicaid Incentives for the Prevention of Chronic Diseases Model,Not Active,10,Statutory Demonstrations and Other Projects,Section 4108 of the Affordable Care Act,The Medicaid Incentives for the Prevention of Chronic Diseases Model supported 10 states providing incentives for Medicaid beneficiaries to participate in prevention programs and demonstrate changes in health risks and outcomes.,,,,,"WI,MN,NY,NV,NH,MT,HI,TX,CA,CT","Statutory Models, Medicaid Incentives for the Prevention of Chronic Diseases Model, grants, managed care",/initiatives/MIPCD/,TRUE,38
Medicaid Innovation Accelerator Program,Not Active,,Statutory Demonstrations and Other Projects,Section 1115A of the Social Security Act,"This program aimed to support state efforts to accelerate innovations to improve health and care, while decreasing costs in the Medicaid and CHIP programs.",,,,,"AK,AL,AR,AZ,CA,CT,CO,DC,DE,FL,GA,GU,IA,IL,KS,KY,LA,MD,ME,MI,MN,MO,MP,MS,MT,NC,NH,ND,NE,NJ,NM,NV,NY,OK,OR,PA,PR,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY","Statutory Models, Medicaid, CHIP, Medicaid Innovation Accelerator Program, IAP, technical assistance, CMCS",/initiatives/MIAP/,TRUE,39
Medicare Acute Care Episode (ACE) Demonstration,Not Active,5,"Statutory Demonstrations and Other Projects, Disease-Specific & Episode-Based Models","Section 646 of the Medicare Prescription Drug, Improvement, and Modernization Act of 2003",The Acute Care Episode (ACE) Demonstration tested the effect of bundling Part A and B payments for episodes of acute care.,,,,,,"Disease-Specific & Episode-Based Models, Bundled Payments for Care Improvement (BPCI), Medicare Acute Care Episode (ACE) Demonstration, Medicare, Value-Based Care Centers",/initiatives/ACE/,TRUE,40
Medicare Advantage Value-Based Insurance Design Model,Active,62 for CY 2025,"Health Plan Models, Disease-Specific & Episode-Based Models",Section 1115A of the Social Security Act,This model is testing the value of extra benefits or reductions in cost sharing for Medicare Advantage enrollees with chronic health conditions.,,,,,"CT,FL,IN,MA,MI,MN,NY,OR,PA,RI,VA","Health Plan Models, Medicare Advantage Value-Based Insurance Design Model, Health Plan Innovation Initiatives, Medicare Advantage, value-based insurance design, HPI, Medicare, vbid, VBID, MA-VBID, chronic conditions, hospice",/initiatives/vbid/,TRUE,41
Medicare Care Choices Model,Not Active,82,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,The Medicare Care Choices Model aimed to develop innovative payment systems to improve care options for hospice eligible beneficiaries by allowing greater beneficiary access to comfort and rehabilitative care in Medicare and Medicaid.,,,,,"CA,CO,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,OH,OK,MA,MD,MI,MN,MO,MT,NC,NJ,NV,NY,PA,SC,SD,TN,TX,UT,VA,VT,WA,WI","Health Plan Models, Medicare Care Choices Model, hospice, Medicare, Medicaid, curative treatment, dual eligible individuals, Medicare hospice benefit, Medicaid hospice benefit, shared decision making, care coordination, MCCM",/initiatives/Medicare-Care-Choices/,TRUE,42
Medicare Coordinated Care Demonstration,Not Active,15,Statutory Demonstrations and Other Projects,Section 4106 of the Balanced Budget Act of 1997,The Medicare Coordinated Care Demonstration tested whether providing coordinated care services to Medicare beneficiaries with complex chronic conditions could yield patient outcomes without increasing program costs.,,,,,,"Statutory Models, Medicare Coordinated Care Demonstration, Medicare",/initiatives/Medicare-Coordinated-Care/,TRUE,43
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Active,928,"Disease-Specific & Episode-Based Models, Health Plan Models",Section 1115A of the Social Security Act,This program is a structured lifestyle intervention to prevent onset of diabetes in pre-diabetic individuals.,,,,,"AR,AZ,CA,CO,DE,FL,GA,IA,ID,IL,IN,KS,KY,MA,MD,ME,MI,MN,MT,NC,NH,ND,NY,OH,OK,OR,PA,SC,TN,TX,UT,WA,WI,WV","Disease-Specific & Episode-Based Models, Medicare Diabetes Prevention Program (MDPP) Expanded Model, Medicare, diabetes, MDPP",/initiatives/medicare-diabetes-prevention-program/,TRUE,44
