Model Name,Stage,Number of Participants,Category,Authority,Description,Number of Beneficiaries Impacted,Number of Physicians Impacted,Date Began,Date Ended,States,Keywords,URL,Display Model Summary,Unique ID
Medicare Health Care Quality Demonstration,Not Active,4,Accountable Care Models,"Section 646 of the Medicare Prescription Drug, Improvement, and Modernization Act of 2003",The Medicare Health Care Quality Demonstration tested major changes to improve quality of care while increasing efficiency across an entire health care system.,,,,,,"Accountable Care Models, Accountable Care, Medicare Health Care Quality Demonstration, Medicare",/initiatives/Medicare-Health-Care-Quality/,TRUE,45
Medicare Hospital Gainsharing Demonstration,Not Active,2,Statutory Demonstrations and Other Projects,Deficit Reduction Act of 2005 and Section 3027 of the Affordable Care Act,This demonstration tested arrangements between hospitals and physicians designed to govern the utilization of inpatient hospital resources and physician work and improve operational hospital performance with the sharing of remuneration.,,,,,,"Statutory Models, Medicare Hospital Gainsharing Demonstration, rural, Medicare",/initiatives/Medicare-Hospital-Gainsharing/,TRUE,46
Medicare Imaging Demonstration,Not Active,5,Statutory Demonstrations and Other Projects,Section 135(b) of the Medicare Improvements for Patients and Providers Act of 2008,Collected data regarding physician use of advanced diagnostic imaging services to determine the appropriateness of services in relation to medical specialty guidelines.,,,,,,"Statutory Models, Medicare Imaging Demonstration, MRI, computed tomography, CT scan, nuclear medicine",/initiatives/Medicare-Imaging/,TRUE,47
Medicare Intravenous Immune Globulin (IVIG) Demonstration,Not Active,,Statutory Demonstrations and Other Projects,Medicare IVIG Access and Strengthening Medicare and Repaying Taxpayers Act of 2012,This Demonstration is being implemented to evaluate the benefits of providing payment and items for services needed for in-home administration of intravenous immune globulin for the treatment of primary immune deficiency disease (PIDD).,,,,,,"Statutory Models, Medicare Intravenous Immune Globulin (IVIG) Demonstration, IVIG, primary immune deficiency disease (PIDD), home health",/initiatives/IVIG/,TRUE,48
Million Hearts,Not Active,,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,Million Hearts is a national initiative to prevent 1 million heart attacks and strokes over five years.,,,,,,"Disease-Specific & Episode-Based Models, Million Hearts, heart attacks, strokes, cardiovascular disease",/initiatives/Million-Hearts/,TRUE,49
Million Hearts: Cardiovascular Disease Risk Reduction Model,Not Active,319,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,This model provided opportunity for the design of sustainable care approaches to decrease cardiovascular disease risk for Medicare beneficiaries.,,,,,"AZ,AK,CA,CO,DC,WA,OR,ID,MT,UT,WY,NM,TX,OK,KS,ND,NE,MN,IA,MO,AR,LA,MS,TN,IL,WI,MI,IN,OH,AL,GA,FL,SC,NC,VA,PA,OH,NY,NJ,CT,RI,NH,ME,DE,HI,PR","Million Hearts: Cardiovascular Disease Risk Reduction Model, Million Hearts, CVD, Disease-Specific & Episode-Based Models, Medicare, heart attacks, stroke, predictive modelling, population-level risk management",/initiatives/Million-Hearts-CVDRRM/,TRUE,50
Most Favored Nation Model,Withdrawn,,State & Community-Based Models,Section 1115A of the Social Security Act,"Mandatory, nationwide model that tested whether more closely aligning Medicare Part B drugs payments with international prices and removing incentives to use higher-cost drugs could control unsustainable Medicare Part B spending without adversely affecting quality of care for beneficiaries.",,,,,,"State & Community-Based Models, Most Favored Nation Model, MFN Model, prescription drugs, Medicare Part B, Organisation for Economic Co-operation and Development (OCED), Medicare",/innovation-models/most-favored-nation-model,TRUE,51
Multi-Payer Advanced Primary Care Practice,Not Active,5,"Statutory Demonstrations and Other Projects, Accountable Care Models",Section 402 of the Social Security Amendments of 1967 as amended,"In the Multi-Payer Advanced Primary Care Practice Demonstration, CMS joined in multi-payer primary care initiatives that were being conducted within states.",,,,,"ME,VT,RI,NY,MI","Statutory Models, Multi-payer Advanced Primary Care Practice Demonstration, medical home, APC, Medicaid, Medicare",/initiatives/Multi-Payer-Advanced-Primary-Care-Practice/,TRUE,52
Next Generation ACO Model,Not Active,35,Accountable Care Models,Section 1115A of the Social Security Act,This model allowed provider groups to assume higher levels of financial risk and reward than were available under the Pioneer ACO Model and Shared Savings Program through incentives and support tools.,,,,,"AZ,CA,DE,FL,IA,ID,IN,LA,MA,MI,MN,NC,NH,NY,RI,TX,UT,VA,VT,WA,WI","Accountable Care Models, Next Generation ACO Model, Accountable Care, Medicare, quality improvement, incentives, care coordination, alternative payment models, NGACO, Next Gen ACO Model",/initiatives/Next-Generation-ACO-Model/,TRUE,53
Nursing Home Value-Based Purchasing Demonstration,Not Active,182,Accountable Care Models,Section 402 of the Social Security Amendments of 1967 as amended,Nursing Home Value-Based Purchasing Demonstration provided incentive payment awards to participating nursing homes that performed the best or improve the most in terms of quality.,,,,,"AZ,NY,WI","Accountable Care Models, Accountable Care, Nursing Home Value-Based Purchasing Demonstration, Medicare, Medicaid",/initiatives/Nursing-Home-Value-Based-Purchasing/,TRUE,54
Oncology Care Model,Not Active,"122 practices, 5 payers",Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,"This was an innovative payment model for physician practices administering chemotherapy that aimed to provide higher quality, more coordinated oncology care at lower cost to Medicare.",,,,,"AL,AR,AZ,CA,CT,FL,GA,IL,IN,KY,MA,ME,MI,MN,MS,NE,NJ,NM,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA,WI,WV","Disease-Specific & Episode-Based Models, Cancer, Oncology Care Model, OCM, chemotherapy, care coordination, shared decision making,  Medicare, Medicare Advantage, Medicaid",/initiatives/Oncology-Care/,TRUE,55
Part D Enhanced Medication Therapy Management Model,Not Active,6,"Health Plan Models, Prescription Drug Models",Section 1115A of the Social Security Act,"This model tested changes to the Part D program to achieve better alignment of PDP sponsor and government financial interests, while also creating incentives for robust investment and innovation in MTM programs, lower health costs, and higher quality care.",,,,,"AZ,FL,IA,LA,MN,MT,NE,ND,SD,VA,WY","Prescription Drug Models, Part D Enhanced Medication Therapy Management Model, Health Plan Innovation Initiatives, Medicare, Part D, MTM, Part D Enhanced MTM Model, PDP, HPI, drug coverage",/initiatives/enhancedmtm/,TRUE,56
Part D Payment Modernization Model,Not Active,2,Prescription Drug Models,Section 1115A of the Social Security Act,This voluntary model aimed to test better alignment of prescription drug plan design improvements and incentives to improve quality and lower costs.,,,,,,"Prescription Drug Models, Part D Payment Modernization Model, prescription drugs, Part D",/initiatives/part-d-payment-modernization-model/,TRUE,57
Part D Senior Savings Model,Not Active,116,"Prescription Drug Models, Health Plan Models",Section 1115A of the Social Security Act,This voluntary model tests the impact of offering beneficiaries an increased choice of enhanced alternative Part D plan options that offer lower out-of-pocket costs for insulin.,,,,,"AK,AL,AS,AR,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MP,MS,MT,NE,NM,NC,ND,NH,NJ,NV,NY,OH,OK,OR,PA,PR,PW,RI,SC,SD,TN,TX,UM,UT,VA,VI,VT,WA,WI,WV,WY","Prescription Drug Models, Part D Senior Savings Model, Part D, Senior Savings Model, prescription drugs, Medicare, Medicare Advantage (MA), insulin, seniors",/initiatives/part-d-savings-model,TRUE,58
Partnership for Patients,Not Active,,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,"The Partnership for Patients was a nationwide public-private partnership that offered support to physicians, nurses and other clinicians working in and out of hospitals to reduce hospital-acquired conditions and readmissions.",,,,,,"Disease-Specific & Episode-Based Models, Partnership for Patients, Community-based Care Transitions Program, Hospital Engagement Networks (HENs), Hospital-Acquired Conditions, Care Transitions, Medicare, Readmissions",/initiatives/Partnership-for-Patients/,TRUE,59
Pennsylvania Rural Health Model,Active,18,"State & Community-Based Models, Accountable Care Models",Section 1115A of the Social Security Act,This model aims to increase access to high-quality care in Pennsylvania rural settings while reducing hospital expenditures across payers.,,,,,PA,"Pennsylvania Rural Health Model, State & Community-Based Models, rural health, PA, Pennsylvania, all-payer, PA Rural Health Model",/initiatives/pa-rural-health-model/,TRUE,60
Physician Group Practice Transition Demonstration,Not Active,6,Accountable Care Models,Sections 3022 and 3027 of the Affordable Care Act,"A precursor to the Medicare Shared Savings Program, the Physician Group Practice Transition Demonstration rewarded groups for efficient and high quality care.",,,,,,"Accountable Care Models, Accountable Care, Shared Savings Program, Medicare, Medicare Physician Group Practice Transition Demonstration, Physician Group Practice Transition Demonstration",/initiatives/Physician-Group-Practice-Transition/,TRUE,61
Physician Hospital Collaboration Demonstration,Not Active,12,Accountable Care Models,"Section 646 of the Medicare Prescription Drug, Improvement, and Modernization Act of 2003",The Physician Hospital Collaboration Demonstration examined the effects of gainsharing aimed at improving the quality of care being delivered.,,,,,NJ,"Accountable Care Models, Physician Hospital Collaboration Demonstration, Medicare",/initiatives/Physician-Hospital-Collaboration/,TRUE,62
Pioneer ACO Model,Not Active,9,Accountable Care Models,Section 1115A of the Social Security Act,The Pioneer ACO Model rewarded groups of health care providers experienced in working together to coordinate care.,,,,,"MN,MA,AZ,WI,CA,MI,NY","Accountable Care Models, Accountable Care, ACOs, Pioneer ACO Model, Accountable Care Organizations (ACOs), Shared Savings Program, alligned beneficiaries, quality metrics, coordinated care, quality measures, Medicare",/initiatives/Pioneer-ACO-Model/,TRUE,63
Primary Care First Model Options,Active,2082,Accountable Care Models,Section 1115A of the Social Security Act,Voluntary payment model options that reward value and quality through innovative payment structures and emphasizing the doctor-patient relationship supporting advanced primary care.,,,,,"AR,CA,CO,DE,FL,HI,KS,KY,LA,MA,ME,MI,MO,MT,ND,NE,NH,NJ,NY,OH,OK,OR,PA,RI,TN,VA","Accountable Care Models, Primary Care First Model Options, PCF, primary care, voluntary, value, quality, flexibility",/innovation-models/primary-care-first-model-options,TRUE,64
"Private, For-Profit Demo Project for the Program of All-Inclusive Care for the Elderly (PACE)",Not Active,6,"Statutory Demonstrations and Other Projects, State & Community-Based Models",Section 4804 of the Balanced Budget Act of 1997,This demonstration studied the quality and cost of providing PACE program services under the Medicare and Medicaid Programs.,,,,,PA,"Accountable Care Models, Accountable Care, Private For-Profit Demo Project for the Program of All-Inclusive Care for the Elderly (PACE), PACE, Medicare",/initiatives/PACE/,TRUE,65
Radiation Oncology Model,Announced,,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,This proposed model aims to improve quality of radiotherapy treatments for cancer patients and reduce provider burden through a predictable payment system.,,,,,,"Disease-Specific & Episode-Based Models, Cancer, Radiation Oncology Model, radiotherapy, RO Model, radiation oncology, Advanced Alternative Payment Model, MIPS APM",/initiatives/radiation-oncology-model/,TRUE,66
Rural Community Hospital Demonstration,Active,20,Statutory Demonstrations and Other Projects,"Sections 410A of the Medicare Modernization Act of 2003 as amended by sections 3123 and 10313 of the Affordable Care Act, section 15003 of the 21st Century Cures Act, and Consolidated Appropriations Act of 2021",The Rural Community Hospital Demonstration is testing the feasibility and advisability of providing reasonable cost reimbursements for small rural hospitals.,,,,,"AK,CO,IA,KS,ME,MS,NE,OK,SD,WY","Statutory Models, Rural Community Hospital Demonstration, Medicare, rural",/initiatives/Rural-Community-Hospital/,TRUE,67
State Innovation Models Initiative: Model Design Awards Round One,Not Active,16,State & Community-Based Models,Section 1115A of the Social Security Act,Sixteen states received funding to develop state-based models for multi-payer payment and health care delivery system transformation.,,,,,"OH,DE,HI,RI,TX,CA,IA,ID,TN,MD,CT,NH,PA,UT,MI,IL","State Innovation Models Initiative, State Innovation Models Initiative: Model Design Awards, State Innovation Models Initiative: Model Design Awards Round One, State & Community-Based Models, SIM Model Design Awards: Round One",/initiatives/State-Innovations-Model-Design/,TRUE,68
State Innovation Models Initiative: Model Design Awards Round Two,Not Active,21,State & Community-Based Models,Section 1115A of the Social Security Act,The second round of State Innovation Models Initiative Model Design Awards provided financial and technical support to states for their planning and design efforts.,,,,,"AS,AZ,CA,DC,HI,KY,IL,MD,MT,NV,NH,NJ,NM,MP,OK,PA,PR,UT,VA,WV,WI","State Innovation Models Initiative, State Innovation Models Initiative: Model Design Awards Round Two, State & Community-Based Models, SIM Model Design Awards: Round Two",/initiatives/State-Innovations-Model-Design-Round-Two/,TRUE,69
State Innovation Models Initiative: Model Pre-Test Awards,Not Active,3,State & Community-Based Models,Section 1115A of the Social Security Act,Three states further developed their state-based models for multi-payer payment reform and health care delivery system transformation.,,,,,"CO,NY,WA","State & Community-Based Models, State Innovation Models Initiative: Model Pre-Testing Awards, State Innovation Models Initiative, SIM Pre-Test Awards",/initiatives/State-Innovations-Model-Pre-Testing/,TRUE,70
State Innovation Models Initiative: Model Test Awards Round One,Not Active,6,State & Community-Based Models,Section 1115A of the Social Security Act,"Six states implemented, tested, and evaluated a multi-payer health system transformation model that aimed to deliver high quality care and improve health system performance for its residents.",,,,,"AR,ME,MA,MN,OR,VT","State Innovation Models Initiative, State Innovation Models Initiative: Model Test Awards, State & Community-Based Models, SIM Test Awards: Round One",/initiatives/State-Innovations-Model-Testing/,TRUE,71
State Innovation Models Initiative: Model Test Awards Round Two,Not Active,11,State & Community-Based Models,Section 1115A of the Social Security Act,The second round of State Innovation Models Initiative Model Testing Awards will provide financial and technical support over a four-year period for states to test and evaluate multi-payer health system transformation models.,,,,,"CO,CT,DE,ID,IA,MI,NY,OH,RI,TN,WA","State Innovation Models Initiative, State Innovation Models Initiative: Model Test Awards, State & Community-Based Models, SIM Test Awards: Round Twoe",/innovation-models/state-innovations-round-two,TRUE,72
State Innovation Models Initiative: Round One,Not Active,25,State & Community-Based Models,Section 1115A of the Social Security Act,The first round of the State Innovation Models Initiative awarded nearly $300 million to 25 states to design or test innovative health care payment and service delivery models.,,,,,"AR,CA,CO,CT,DE,IA,ID,IL,MA,ME,MD,MI,MN,NH,NY,OH,OR,PA,RI,TN,TX,UT,VT,WA","State Innovation Models Initiative: Round One, SIM, State & Community-Based Models",/initiatives/State-Innovations-Round-One/,TRUE,73
State Innovation Models Initiative: Round Two,Not Active,32,State & Community-Based Models,Section 1115A of the Social Security Act,"The second round of State Innovation Models Initiative awards is providing over $665 million to support state-led, multi-payer health care payment and service delivery innovation.",,,,,"AS,AZ,CA,CO,CT,DC,DE,IA,ID,IL,KY,MD,MI,MP,MT,NH,NM,NJ,NV,NY,OH,OK,PA,PR,RI,TN,UT,VA,WA,WI,WV","State Innovation Models Initiative, State Innovation Models Initiative: Round Two, State & Community-Based Models, SIM Round Two",/initiatives/State-Innovations-Round-Two/,TRUE,74
Strong Start for Mothers and Newborns Initiative: Effort to Reduce Early Elective Deliveries,Not Active,,Health Plan Models,Section 1115A of the Social Security Act,The Strong Start effort to reduce early elective deliveries supported providers and mothers-to-be in their efforts to decrease the number of early elective deliveries and improve outcomes for mothers and infants.,,,,,,"Strong Start for Mothers and Newborns Initiative, Health Plan Models, Medicaid, Children's Health Insurance Program (CHIP), Partnership for Patients",/initiatives/Strong-Start-Strategy-1/,FALSE,75
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,Not Active,182,Health Plan Models,Section 1115A of the Social Security Act,This initiative tested three evidence-based maternity care service approaches that aimed to improve the health outcomes of pregnant women and newborns.,,,,,"AK,AL,AR,AZ,CA,CT,DC,FL,GA,IL,KY,LA,MD,MI,MN,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OK,OR,PA,PR,SC,TN,TX,VA,WI,WV","Strong Start for Mothers and Newborns Initiative, Health Plan Models, Medicaid, Children's Health Insurance Program (CHIP)",/initiatives/Strong-Start-Strategy-2/,TRUE,76
Transforming Clinical Practice Initiative,Not Active,41,State & Community-Based Models,Section 1115A of the Social Security Act,"A large-scale health transformation initiative that supported clinician practices in sharing, adapting and developing comprehensive quality improvement strategies.",,,,,"AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MD,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY","State & Community-Based Models, Primary Care Transformation, Transforming Clinical Practice Initiative, TCPI, quality improvement strategies, clinicians, learning networks, population-based care, large-scale investment, value-based payment, infrastructure",/initiatives/Transforming-Clinical-Practices/,TRUE,77
Value in Opioid Use Disorder Treatment Demonstration Program,Active,53,Statutory Demonstrations and Other Projects,Section 6042 of the Substance Use-Disorder Prevention that Promotes Opioid Recovery and Treatment for Patients and Communities Act (SUPPORT Act),"This demonstration aims to increase access to opioid use disorder treatment services, improve physicial and mental health outcomes and reduce Medicare expenditures.",,,,,,"Disease-Specific & Episode-Based Models, Value in Opioid Use Disorder Treatment Demonstration Program, Opioids, Opioid Use Disorder (OUD), Value in Treatment (ViT), Substance Use-Disorder Prevention that Promotes Opioid Recovery and Treatment for Patients and Communities Act (SUPPORT Act)",/innovation-models/value-in-treatment-demonstration/,TRUE,78
Vermont All-Payer ACO Model,Active,1,"State & Community-Based Models, Accountable Care Models",Section 1115A of the Social Security Act,This alternative payment model incentivizes delivery of health care value and quality among significant Vermont payers to transform health care for Vermont's population.,,,,,VT,"State & Community-Based Models, Accountable Care, Vermont All-Payer ACO Model, Medicare, Medicaid, all payer, VT All-Payer ACO Model",/initiatives/vermont-all-payer-aco-model/,TRUE,79
Innovation Advisors Program,Not Active,71,Statutory Demonstrations and Other Projects,Section 1115A of the Social Security Act,"The Innovation Advisors Program began in December 2011 when the Center selected 75 individuals from 920 applicants. Of these, 73 accepted from 27 States and the District of Columbia. During 2012 these individuals participated in activities to deepen key skill sets related to CMS strategy, population health and care redesign.",,,,,,"Innovation Advisors Program, Statutory Models",/innovation-models/innovation-advisors-program,TRUE,80
Health Care Payment Learning and Action Network,Active,,Accountable Care Models,Section 1115A of the Social Security Act,The Health Care Payment Learning and Action Network aims to advance cross-sector work to increase adoption of value-based and alternative payment models.,,,,,,"Health Care Payment Learning and Action Network, Accountable Care Models, value-based payments, alternative payment models, payment reform, alternative payment models, APMs",/initiatives/Health-Care-Payment-Learning-and-Action-Network/,TRUE,81
Making Care Primary (MCP) Model,Active,"128 participants, 772 practices",Accountable Care Models,Section 1115A of the Social Security Act,"A voluntary, primary care model that seeks to improve care management, equip primary care clinicians to form partnerships with healthcare specialists and leverage community-based connections to address health-related social needs.",,,,,"CO,MA,MN,NM,NJ,NY,NC,WA","Making Care Primary (MCP) Model, MCP Model, Accountable Care Models, primary care, Medicare, specialists, health related social needs, HRSN, Fee-for-Service, FFS",/innovation-models/making-care-primary,TRUE,82
Guiding an Improved Dementia Experience (GUIDE) Model,Active,390,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,"The GUIDE Model will focus on dementia care management and aims to improve quality of life for people living with dementia, reduce strain on their unpaid caregivers, and enable people living with dementia to remain in their homes and communities.",,,,,"AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WY,WV","Guiding an Improved Dementia Experience (GUIDE) Model, GUIDE Model, dementia, caregivers, education, support, care management, voluntary models, Medicare Part A, Medicare Part B, Medicaid, respite services",/innovation-models/guide,TRUE,83
States Advancing All-Payer Health Equity Approaches and Development (AHEAD) Model,Active,3,State & Community-Based Models,Section 1115A of the Social Security Act,"AHEAD is a voluntary state total cost of care model with a goal of improving the total health of a participating state’s population, reducing disparities in health care outcomes, and limiting the growth of health care costs.",,,,,,"Accountable Care, Multi-Payer aligment, state selection, eligibility, All-Payer, health equity, hospital global budgets, primary care, AHEAD",/innovation-models/ahead,TRUE,84
Transforming Maternal Health (TMaH) Model,Announced,,State & Community-Based Models,Section 1115A of the Social Security Act,TMaH focuses on improving maternal health outcomes for Medicaid and Children's Health Insurance Program (CHIP) enrollees. TMaH supports the development of a whole-person approach to pregnancy while reducing access and treatment disparities.,,,,,,"State & Community-Based Models, Pregnancy, maternal health, maternity, childbirth, delivery, postpartum care, mothers, babies, Medicaid, Children's Health Insurance Program (CHIP), equity, disparities, social needs, newborns",/innovation-models/transforming-maternal-health-tmah-model,TRUE,85
Innovation in Behavioral Health (IBH) Model,Announced,Practice participants will be determined once the NOFO period has ended – up to eight states are eligible for participation,State & Community-Based Models,Section 1115A of the Social Security Act,IBH is a voluntary state model for Medicare/Medicaid populations with mental health conditions and/or substance use disorders. IBH aims to improve behavioral/physical health outcomes and overall quality of care for this population.,,,,,,"Innovation in Behavioral Health (IBH) Model, IBH Model, Behavioral health, substance use disorders, SUD, Opioid Use Disorder, OUD, Medicaid",/innovation-models/innovation-behavioral-health-ibh-model,TRUE,86
Cell and Gene Therapy (CGT) Access Model,Announced,,Prescription Drug Models,Section 1115A of the Social Security Act,The CGT Access Model is a voluntary model for states and manufacturers that tests whether a CMS-led approach to developing and administering outcomes-based agreements for cell and gene therapies improves access to innovative treatment.,,,,,,"Cell and Gene Therapy (CGT) Access Model, Sickle Cell Disease, Medicaid Drug Rebate Program",/innovation-models/cgt,TRUE,89
ACO Primary Care Flex Model,Announced - Applications Under Review,N/A,Accountable Care Models,Section 1115A of the Social Security Act,The ACO Primary Care Flex Model is a voluntary model focused on improving funding and other resources to support primary care delivery in the Medicare Shared Savings Program. ,,,,,,"Accountable Care Organizations, ACOs, Primary Care, ACO PC Flex Model, ACO Primary Care Flex Model",/innovation-models/aco-primary-care-flex-model,TRUE,90
Transforming Episode Accountability Model (TEAM),Announced,N/A,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,TEAM is a proposed five-year mandatory episode-based alternative payment model that would incentivize coordination between care providers during a surgery as well as the services provided during the 30 days that follow.  ,,,,,,"Transforming Episode Accountability Model (TEAM), healthcare innovation, innovation models, episode-based, mandatory models, care coordination, surgical and post-surgical care, acute care",/innovation-models/team-model,TRUE,91
Increasing Organ Transplant Access (IOTA) Model,Announced,N/A,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,The Increasing Organ Transplant Model is a proposed mandatory model that aims to increase access to life-saving transplants for patients living with kidney disease.,,,,,,"Increasing Organ Transplant Access (IOTA) Model, Organs, Transplants, proposed, mandatory model,  life-saving transplants, patients, chronnic kidney disease (CKD)",/innovation-models/iota,TRUE,92
